"Country.Code","NY.GDP.PCAP.CD","NY.GNP.PCAP.CD","SH.IMM.IDPT","SH.IMM.HEPB","SH.IMM.MEAS","SH.TBS.INCD","ST.INT.ARVL","AG.LND.TOTL.K2","TX.VAL.MRCH.WL.CD","TX.VAL.MRCH.HI.ZS","TM.VAL.MRCH.HI.ZS","TG.VAL.TOTL.GD.ZS","NY.GSR.NFCY.CD","SP.POP.0014.TO.ZS","SP.POP.1564.TO.ZS","SP.POP.65UP.TO.ZS","EN.POP.DNST","SP.POP.TOTL","SP.RUR.TOTL.ZS","BG.GSR.NFSV.GD.ZS","SH.TBS.DTEC.ZS","EG.ELC.ACCS.ZS","SP.DYN.LE00.IN","SM.POP.NETM","SH.TBS.CURE.ZS","SH.UHC.SRVS.CV.XD","SH.DTH.COMM.ZS","SH.XPD.CHEX.PC.CD","SH.XPD.GHED.PC.CD","SH.XPD.PVTD.PC.CD","SM.POP.TOTL.ZS"
"BGD",1698.262802,1750,98,98,97,221,1026000,130170,33775434148,71.59155895,32.9815329,36.76745373,12496322759,27.70602248,67.13558688,5.15839064,1239.579312,161356039,63.368,5.622517484,75,88,72.052,-1847503,94,48,25.6,34.21796766,6.14438538,25.4643363,0.883753735
"BRB",17949.28151,15410,95,95,85,0.4,680000,430,457728581,48.10542539,81.48446737,39.45578231,-629272100,17.34294815,66.85435789,15.80269396,666.6069767,286641,68.853,45.65392443,87,100,78.981,-397,100,77,13,1163.844561,534.0517885,610.3353923,12.12990166
"BLR",6289.938553,5670,97,98,97,31,11501600,202988.0078,33906946200,32.02292809,21.98037936,120.8581704,-2263721486,16.86594305,68.28890878,14.84514817,46.7287999,9485386,21.405,23.82099505,80,100,74.12926829,43648,89,76,2.5,317.9941906,195.3959526,121.909734,11.40401056
"BEL",47518.63604,45910,98,97,96,9,9119000,30280,4.66559e+11,85.07094468,82.12213168,168.9214672,3486481960,17.05542276,64.1558335,18.78874374,377.2149273,11422068,1.999,45.5190813,88,100,81.43902439,240000,79,84,7.9,4149.385322,3489.871404,659.5138849,12.28353319
"BLZ",4884.742421,4470,96,96,97,30,489000,22810,198847128,86.32070613,59.62109376,73.48213312,-180943056.5,30.27976537,64.98377585,4.736458777,16.79399386,383071,54.276,45.81751286,87,98.26512146,74.365,6000,71,64,19.4,303.6048377,201.3714598,90.7370187,14.99080123
"BEN",901.5438712,870,76,76,71,56,295000,112760,954151944,13.34011012,30.02692665,58.49757915,-81916080.13,42.44768239,54.29871231,3.253605297,101.8539198,11485048,52.688,9.877033668,62,43.07774734,61.174,-10000,87,40,54.1,30.40151289,6.24369641,14.89509483,2.255540965
"BMU",85748.06541,106140,25,25,30,3.7,282000,54.00000095,150684480,14.10774554,93.95986696,18.3719641,1512952000,12.27828264,47.42066751,1.085000985,1184.592572,63968,0,40.79512712,87,100,81.44195122,-3266243,100,25,1.3,16.36043526,2.43144068,1.64154032,30.84639701
"BTN",3243.231125,2970,97,97,97,149,274000,38143.99902,568829544,4.918585066,6.947438701,67.02976907,-220188479.2,25.77135373,68.22563455,6.003011713,19.77752777,754394,59.105,17.27750128,80,97.7,71.129,1600,93,62,20.9,91.33533448,67.54524033,19.44152601,6.595769395
"BOL",3548.59014,3370,83,83,89,108,1142000,1083300,9064738064,38.19831793,33.19982295,46.90519564,-1015654834,31.07354775,61.73450486,7.191947392,10.48014585,11353142,30.575,11.71927006,62,91.8,70.945,-47520,83,68,22.4,213.0173253,139.9493316,66.16919515,1.333267442
"BIH",6065.672708,5740,73,80,68,25,1053000,51200,7181886575,74.5143273,64.6243781,96.71724116,-58250452.63,14.76621765,68.76346488,16.47031747,64.92048828,3323929,51.755,14.4984861,80,100,77.128,-107926,45,61,1.8,443.7837805,314.140536,128.6136631,0.91336484
"BWA",8258.641666,7750,95,95,97,275,1623000,566730,6374895531,68.34257073,17.58871771,63.73005991,-616437328.4,34.11294602,61.66317964,4.223874346,3.977424876,2254126,30.554,11.85722972,59,62.82494736,68.812,14999,78,61,46,379.9230078,212.4995772,142.0264054,7.100334367
"BRA",8920.762105,9140,83,83,84,45,6621000,8358140,2.42363e+11,45.14171292,52.0318961,22.92588136,-28426843286,21.33407191,69.74309026,8.922837832,25.06171624,209469333,13.431,5.705432698,87,100,75.456,106000,71,79,13.9,1015.934448,337.533552,677.5361405,0.3433132
"VGB",271.7520444,280,25,25,30,3.9,192000,150,8610694,1.50321261,0.501550931,12.76706358,-67488588851,12.27828264,47.42066751,1.085000985,198.68,29802,52.277,3.971727974,87,100,52.24,-3266243,100,25,1.3,16.36043526,2.43144068,1.64154032,57.46920344
"BRN",31628.32879,29660,99,99,99,68,278000,5270,6572137803,68.95945298,39.29426006,78.57097426,211283267.8,23.02646149,72.10039094,4.873147568,81.39696395,428962,22.371,15.81601906,87,100,75.585,0,75,81,7.8,630.6293586,598.6464062,31.98295245,24.27597191
"BGR",9272.629304,8860,92,85,93,22,9273000,108560,33141121226,65.19525647,60.70182616,109.0876412,1005536874,14.59546532,64.38262025,21.02191443,64.70353721,7024216,24.992,26.55929096,82,100,74.81219512,-24001,84,66,2.2,612.4785856,309.6886621,302.7899244,1.428196392
"BFA",715.122904,670,91,91,88,48,144000,273600,3204493737,70.3383469,41.4336168,53.65041187,-95090966.13,44.94808132,52.64493785,2.406980829,72.19128289,19751535,70.642,15.00419576,63,25.47374344,60.768,-125000,80,40,56.3,40.94095568,16.41631937,14.92371804,3.892039853
"BDI",271.7520444,280,90,90,88,111,299000,25680,169279447,59.65251174,49.46357017,32.0059869,5109541.865,45.50168075,52.25137879,2.24694046,435.178271,11175378,86.968,11.00116457,58,9.3,60.898,10003,93,42,55.8,18.46188216,5.37748774,5.95536556,2.565632229
"CPV",3635.40685,3420,98,99,99,46,710000,4030,78454046,94.31243737,80.612814,45.12310593,-46628755.34,28.77776695,66.6129059,4.609327157,134.9297767,543767,34.268,55.06379472,80,92.91363525,72.57,-6709,91,69,19.5,159.07351,90.32774422,44.78303181,2.867232018
"KHM",1510.324871,1390,92,92,84,302,6201000,176520,12211136142,83.05872097,33.4781051,136.1720905,-1654585799,31.20141476,64.22990522,4.568680018,92.05641287,16249798,76.612,34.61585482,58,89.07,69.289,-149999,94,60,25.6,77.67368199,16.93820917,46.01642021,0.474794451
"CMR",1533.74214,1440,79,79,71,186,1081000,472710,3922232339,51.81875418,46.8413844,24.99792807,-818760889.1,42.63157984,54.6395428,2.728877355,53.34398891,25216237,43.626,12.46746166,50,61.40187454,58.511,-24000,84,46,53.9,64.46729416,8.59672659,49.85414604,1.636313704
