Time,Susceptible,Infected,Recovered/Deaths,Country
2020-04-20,2920686,1847014,870974,Singapore
2020-04-21,2810973,1907147,920555,Singapore
2020-04-22,2701931,1965038,971705,Singapore
2020-04-23,2593925,2020392,1024357,Singapore
2020-04-24,2487325,2072914,1078436,Singapore
2020-04-25,2382506,2122313,1133856,Singapore
2020-04-26,2279854,2168298,1190522,Singapore
2020-04-27,2179761,2210582,1248332,Singapore
2020-04-28,2082625,2248876,1307173,Singapore
2020-04-29,1988588,2283130,1366956,Singapore
2020-04-30,1897573,2313504,1427597,Singapore
2020-05-01,1809673,2340013,1488988,Singapore
2020-05-02,1724962,2362688,1551024,Singapore
2020-05-03,1643495,2381577,1613602,Singapore
2020-05-04,1565307,2396743,1676624,Singapore
2020-05-05,1490415,2408267,1739993,Singapore
2020-05-06,1418816,2416243,1803616,Singapore
2020-05-07,1350488,2420783,1867403,Singapore
2020-05-08,1285390,2422017,1931268,Singapore
2020-05-09,1223460,2420087,1995127,Singapore
2020-05-10,1164620,2415155,2058899,Singapore
2020-05-11,1108771,2407397,2122507,Singapore
2020-05-12,1055793,2397005,2185876,Singapore
2020-05-13,1030340,2390885,2217449,Singapore
2020-03-24,4999815,312819,134376,Slovakia
2020-03-25,4966876,336957,143176,Slovakia
2020-03-26,4931656,362703,152651,Slovakia
2020-03-27,4874281,404498,168230,Slovakia
2020-03-28,4832839,434575,179596,Slovakia
2020-03-29,4788721,466487,191801,Slovakia
2020-03-30,4717322,517893,211794,Slovakia
2020-03-31,4666118,554572,226320,Slovakia
2020-04-01,4611940,593205,241865,Slovakia
2020-04-02,4524950,654846,267213,Slovakia
2020-04-03,4463091,698397,285521,Slovakia
2020-04-04,4398115,743880,305014,Slovakia
2020-04-05,4294770,815618,336622,Slovakia
2020-04-06,4221972,865679,359359,Slovakia
2020-04-07,4146101,917418,383491,Slovakia
2020-04-08,4026695,997911,422404,Slovakia
2020-04-09,3943509,1053289,450211,Slovakia
2020-04-10,3857611,1109849,479549,Slovakia
2020-04-11,3724040,1196491,526479,Slovakia
2020-04-12,3632124,1255145,559740,Slovakia
2020-04-13,3538173,1314243,594594,Slovakia
2020-04-14,3393989,1403154,649867,Slovakia
2020-04-15,3296107,1462197,688706,Slovakia
2020-04-16,3197183,1520701,729126,Slovakia
2020-04-17,3097559,1578342,771109,Slovakia
2020-04-18,2947619,1662427,836963,Slovakia
2020-04-19,2847904,1716362,882744,Slovakia
2020-04-20,2748730,1768264,930015,Slovakia
2020-04-21,2601519,1841919,1003572,Slovakia
2020-04-22,2504776,1887985,1054249,Slovakia
2020-04-23,2409424,1931450,1106135,Slovakia
2020-04-24,2269463,1991499,1186047,Slovakia
2020-04-25,2178482,2027941,1240587,Slovakia
2020-04-26,2089563,2061406,1296041,Slovakia
2020-04-27,1960384,2105870,1380755,Slovakia
2020-04-28,1877259,2131617,1438134,Slovakia
2020-04-29,1796661,2154208,1496140,Slovakia
2020-04-30,1680709,2182149,1584152,Slovakia
2020-05-01,1606810,2196821,1643378,Slovakia
2020-05-02,1535698,2208356,1702956,Slovakia
2020-05-03,1434329,2219871,1792810,Slovakia
2020-05-04,1370304,2223779,1852926,Slovakia
2020-05-05,1309117,2224767,1913125,Slovakia
2020-05-06,1222603,2220990,2003416,Slovakia
2020-05-07,1168373,2215139,2063497,Slovakia
2020-05-08,1116827,2206781,2123402,Slovakia
2020-05-09,1067885,2196073,2183051,Slovakia
2020-05-10,999148,2176030,2271831,Slovakia
2020-05-11,956243,2160275,2330492,Slovakia
2020-05-12,915518,2142799,2388693,Slovakia
2020-05-13,858248,2113703,2475059,Slovakia
2020-05-14,822444,2092598,2531968,Slovakia
2020-05-15,788415,2070286,2588308,Slovakia
2020-05-16,740484,2034835,2671690,Slovakia
2020-05-17,710471,2010049,2726490,Slovakia
2020-05-18,681913,1984466,2780631,Slovakia
2020-05-19,641642,1944810,2860557,Slovakia
2020-05-20,616407,1917646,2912956,Slovakia
2020-05-21,592394,1889992,2964624,Slovakia
2020-05-22,558555,1847736,3040719,Slovakia
2020-05-23,537387,1819133,3090489,Slovakia
2020-05-24,517292,1790241,3139476,Slovakia
2020-05-25,489106,1746442,3211462,Slovakia
2020-05-26,471593,1716975,3258442,Slovakia
2020-05-27,455090,1687315,3304604,Slovakia
2020-05-28,432228,1642481,3372300,Slovakia
2020-05-29,418144,1612472,3416394,Slovakia
2020-05-30,404772,1582576,3459662,Slovakia
2020-05-31,392071,1552826,3502113,Slovakia
2020-06-01,374193,1508539,3564277,Slovakia
2020-06-02,363006,1479281,3604723,Slovakia
2020-06-03,352362,1450265,3644382,Slovakia
2020-06-04,337348,1407247,3702414,Slovakia
2020-06-05,327928,1378936,3740145,Slovakia
2020-06-06,318948,1350942,3777119,Slovakia
2020-06-07,306244,1309582,3831184,Slovakia
2020-06-08,298250,1282452,3866308,Slovakia
2020-06-09,290610,1255690,3900709,Slovakia
2020-06-10,279772,1216263,3950974,Slovakia
2020-06-11,272935,1190469,3983606,Slovakia
2020-06-12,266388,1165074,4015547,Slovakia
2020-06-13,257084,1127740,4062185,Slovakia
2020-06-14,251207,1103361,4092442,Slovakia
2020-06-15,245578,1079390,4122042,Slovakia
2020-06-16,237584,1044194,4165232,Slovakia
